DATE,TIME_M,EX,SYM_ROOT,TR_SCOND,SIZE,PRICE
2025-11-13,9:30:01.185625008,T,KO,TI,62,71.43
2025-11-13,9:30:01.186310599,T,KO,T,300,71.43
2025-11-13,9:30:01.204891868,T,KO,FTI,37,71.42
2025-11-13,9:30:01.417940247,T,KO,O I,68,71.43
2025-11-13,9:30:01.417955264,T,KO,Q,68,71.43
2025-11-13,9:30:01.475404055,T,KO,I,13,71.4
2025-11-13,9:30:01.842265816,T,KO,I,2,71.38
2025-11-13,9:30:01.842268793,T,KO,,100,71.38
2025-11-13,9:30:01.918013197,T,KO,I,7,71.39
2025-11-13,9:30:02.121796492,T,KO,,100,71.37
2025-11-13,9:30:02.123351229,T,KO,F I,11,71.36
2025-11-13,9:30:02.123354265,T,KO,F I,50,71.36
2025-11-13,9:30:02.347029958,T,KO,I,1,71.365
2025-11-13,9:30:02.621036632,T,KO,I,2,71.365
2025-11-13,9:30:02.625844987,T,KO,I,2,71.365
2025-11-13,9:30:02.626563734,T,KO,I,2,71.365
2025-11-13,9:30:02.627886900,T,KO,I,3,71.365
2025-11-13,9:30:02.966833207,T,KO,F,193,71.36
2025-11-13,9:30:02.966836122,T,KO,F I,13,71.36
2025-11-13,9:30:02.967130909,T,KO,I,12,71.35
2025-11-13,9:30:03.132669118,T,KO,I,5,71.35
2025-11-13,9:30:03.132672115,T,KO,F I,5,71.35
2025-11-13,9:30:03.149488186,T,KO,I,31,71.34
2025-11-13,9:30:03.149752826,T,KO,I,56,71.34
2025-11-13,9:30:03.150453530,T,KO,I,12,71.35
2025-11-13,9:30:03.380302889,T,KO,,100,71.36
2025-11-13,9:30:03.381349477,T,KO,F,100,71.37
2025-11-13,9:30:03.381392191,T,KO,,100,71.36
2025-11-13,9:30:03.381392191,T,KO,,100,71.36
2025-11-13,9:30:03.381397529,T,KO,,100,71.36
2025-11-13,9:30:03.381430768,T,KO,,100,71.36
2025-11-13,9:30:03.381430768,T,KO,I,50,71.36
2025-11-13,9:30:03.381448667,T,KO,I,1,71.36
2025-11-13,9:30:03.381460705,T,KO,I,87,71.36
2025-11-13,9:30:03.928595791,T,KO,,100,71.37
2025-11-13,9:30:04.243385508,T,KO,I,1,71.37
2025-11-13,9:30:04.266841326,T,KO,I,6,71.36
2025-11-13,9:30:04.969897882,T,KO,,193,71.36
2025-11-13,9:30:05.693716004,T,KO,F I,18,71.35
2025-11-13,9:30:05.693718793,T,KO,F,100,71.35
2025-11-13,9:30:05.693722477,T,KO,F I,55,71.35
2025-11-13,9:30:05.693734122,T,KO,I,1,71.35
2025-11-13,9:30:05.693736950,T,KO,I,44,71.35
2025-11-13,9:30:05.693739850,T,KO,I,68,71.35
2025-11-13,9:30:05.693796983,T,KO,F I,13,71.34
2025-11-13,9:30:05.693796983,T,KO,F I,50,71.34
2025-11-13,9:30:05.693799891,T,KO,F I,13,71.34
2025-11-13,9:30:06.075213312,T,KO,F,100,71.32
2025-11-13,9:30:06.075238325,T,KO,F,100,71.33
2025-11-13,9:30:06.075779087,T,KO,I,52,71.33
2025-11-13,9:30:06.075781732,T,KO,,100,71.32
2025-11-13,9:30:06.075784776,T,KO,I,50,71.32
2025-11-13,9:30:06.075851469,T,KO,,100,71.32
2025-11-13,9:30:06.075853914,T,KO,I,50,71.32
2025-11-13,9:30:06.076286887,T,KO,F,259,71.32
2025-11-13,9:30:06.262318971,T,KO,F,100,71.32
2025-11-13,9:30:06.325331103,T,KO,I,5,71.33
2025-11-13,9:30:06.325349148,T,KO,F I,95,71.33
2025-11-13,9:30:06.464646954,T,KO,F,100,71.35
2025-11-13,9:30:07.508017945,T,KO,,300,71.355
2025-11-13,9:30:08.812657342,T,KO,I,50,71.35
2025-11-13,9:30:08.812660213,T,KO,I,70,71.35
2025-11-13,9:30:08.812879780,T,KO,,100,71.36
2025-11-13,9:30:08.812892374,T,KO,I,1,71.36
2025-11-13,9:30:08.841703743,T,KO,I,4,71.35
2025-11-13,9:30:08.841703743,T,KO,I,50,71.35
2025-11-13,9:30:09.097940656,T,KO,I,50,71.33
2025-11-13,9:30:09.097943608,T,KO,I,50,71.33
2025-11-13,9:30:09.315114925,T,KO,I,50,71.32
2025-11-13,9:30:09.315511831,T,KO,I,50,71.31
2025-11-13,9:30:10.018393907,T,KO,F,123,71.31
2025-11-13,9:30:10.018866004,T,KO,F I,50,71.3
2025-11-13,9:30:10.291651665,T,KO,,100,71.3
2025-11-13,9:30:10.291654692,T,KO,I,17,71.3
2025-11-13,9:30:10.291669795,T,KO,I,83,71.3
2025-11-13,9:30:10.291669795,T,KO,,300,71.3
2025-11-13,9:30:10.291672767,T,KO,,128,71.3
2025-11-13,9:30:10.291961410,T,KO,I,58,71.3
2025-11-13,9:30:10.291964404,T,KO,I,59,71.3
2025-11-13,9:30:10.292238077,T,KO,F I,10,71.3
2025-11-13,9:30:10.303957057,T,KO,I,50,71.3
2025-11-13,9:30:10.356056259,T,KO,F,100,71.29
2025-11-13,9:30:10.356056259,T,KO,F I,10,71.29
2025-11-13,9:30:10.356080164,T,KO,I,1,71.29
2025-11-13,9:30:10.356083214,T,KO,I,39,71.29
2025-11-13,9:30:10.356086220,T,KO,I,50,71.29
2025-11-13,9:30:10.358500958,T,KO,F I,50,71.28
2025-11-13,9:30:11.088098577,T,KO,I,26,71.28
2025-11-13,9:30:12.628427187,T,KO,F,300,71.275
2025-11-13,9:30:13.896776323,T,KO,F,100,71.29
2025-11-13,9:30:13.896776323,T,KO,F,200,71.29
2025-11-13,9:30:13.896797010,T,KO,F,100,71.29
2025-11-13,9:30:13.896824160,T,KO,F I,5,71.29
2025-11-13,9:30:13.896848209,T,KO,F,100,71.3
2025-11-13,9:30:13.897616135,T,KO,,200,71.32
2025-11-13,9:30:13.897646187,T,KO,F I,37,71.32
2025-11-13,9:30:13.897648225,T,KO,F,100,71.32
2025-11-13,9:30:13.897651562,T,KO,F,200,71.32
2025-11-13,9:30:13.897651562,T,KO,F,200,71.32
2025-11-13,9:30:13.897844314,T,KO,I,50,71.32
2025-11-13,9:30:13.897844314,T,KO,,100,71.31
2025-11-13,9:30:13.897847011,T,KO,I,50,71.31
2025-11-13,9:30:13.897849552,T,KO,,100,71.31
2025-11-13,9:30:13.897849552,T,KO,I,50,71.31
2025-11-13,9:30:13.898138199,T,KO,I,50,71.31
2025-11-13,9:30:13.898141280,T,KO,I,50,71.31
2025-11-13,9:30:13.898141280,T,KO,,100,71.31
2025-11-13,9:30:13.898294795,T,KO,F I,51,71.31
2025-11-13,9:30:13.944589894,T,KO,F I,50,71.3
2025-11-13,9:30:16.478906051,T,KO,F I,3,71.3
2025-11-13,9:30:16.478906051,T,KO,F,300,71.3
2025-11-13,9:30:16.480244232,T,KO,I,10,71.3
2025-11-13,9:30:16.493740250,T,KO,,187,71.3
2025-11-13,9:30:18.560201954,T,KO,F,100,71.295
2025-11-13,9:30:18.560214552,T,KO,F I,13,71.295
2025-11-13,9:30:18.560217718,T,KO,F I,7,71.295
2025-11-13,9:30:18.560220037,T,KO,F I,80,71.31
2025-11-13,9:30:18.560241066,T,KO,I,20,71.31
2025-11-13,9:30:18.560241066,T,KO,I,5,71.31
2025-11-13,9:30:18.560499624,T,KO,I,8,71.3
2025-11-13,9:30:18.560538936,T,KO,,100,71.3
2025-11-13,9:30:18.560541744,T,KO,I,17,71.31
2025-11-13,9:30:18.560560150,T,KO,I,1,71.3
2025-11-13,9:30:18.560565789,T,KO,,100,71.3
2025-11-13,9:30:18.560565789,T,KO,F,100,71.3
2025-11-13,9:30:18.560568807,T,KO,F I,8,71.3
2025-11-13,9:30:18.560583834,T,KO,I,1,71.3
2025-11-13,9:30:18.560586900,T,KO,F I,6,71.295
2025-11-13,9:30:18.560962734,T,KO,,100,71.3
2025-11-13,9:30:18.560977768,T,KO,I,1,71.3
2025-11-13,9:30:18.560995891,T,KO,,100,71.3
2025-11-13,9:30:18.561013914,T,KO,I,1,71.3
2025-11-13,9:30:18.561013914,T,KO,I,49,71.3
2025-11-13,9:30:18.562472367,T,KO,F,894,71.3
2025-11-13,9:30:18.562475930,T,KO,F,920,71.3
2025-11-13,9:30:18.926633737,T,KO,F,100,71.3
2025-11-13,9:30:18.927124048,T,KO,F,100,71.32
2025-11-13,9:30:18.928392933,T,KO,F,100,71.33
2025-11-13,9:30:19.628267809,T,KO,I,38,71.32
2025-11-13,9:30:19.628289716,T,KO,F I,12,71.32
2025-11-13,9:30:19.628289716,T,KO,F I,13,71.32
2025-11-13,9:30:19.628291934,T,KO,I,12,71.32
2025-11-13,9:30:19.628294810,T,KO,I,12,71.32
2025-11-13,9:30:19.628333882,T,KO,I,7,71.32
2025-11-13,9:30:19.628727846,T,KO,I,50,71.32
2025-11-13,9:30:19.628929292,T,KO,,100,71.32
2025-11-13,9:30:19.628944372,T,KO,F I,52,71.32
2025-11-13,9:30:19.628950333,T,KO,I,4,71.32
2025-11-13,9:30:19.628953346,T,KO,I,43,71.31
2025-11-13,9:30:20.424522125,T,KO,F I,2,71.31
2025-11-13,9:30:20.424732652,T,KO,F I,5,71.3
2025-11-13,9:30:20.552954975,T,KO,I,1,71.295
2025-11-13,9:30:22.678408628,T,KO,I,46,71.31
2025-11-13,9:30:22.678426371,T,KO,I,54,71.31
2025-11-13,9:30:22.678465436,T,KO,I,8,71.3
2025-11-13,9:30:22.678525699,T,KO,I,2,71.3
2025-11-13,9:30:22.678598235,T,KO,,100,71.3
2025-11-13,9:30:22.678612747,T,KO,I,1,71.3
2025-11-13,9:30:24.718163286,T,KO,F,100,71.31
2025-11-13,9:30:24.718755658,T,KO,,100,71.31
2025-11-13,9:30:24.718758685,T,KO,,100,71.32
2025-11-13,9:30:25.156760885,T,KO,I,67,71.31
2025-11-13,9:30:29.190745602,T,KO,I,5,71.29
2025-11-13,9:30:29.190775742,T,KO,F,300,71.29
2025-11-13,9:30:29.190959853,T,KO,F,200,71.29
2025-11-13,9:30:29.190959853,T,KO,F I,50,71.28
2025-11-13,9:30:29.190962156,T,KO,F I,3,71.28
2025-11-13,9:30:29.190965125,T,KO,F I,20,71.28
2025-11-13,9:30:29.190998100,T,KO,,100,71.28
2025-11-13,9:30:29.690999016,T,KO,I,64,71.27
2025-11-13,9:30:29.999169908,T,KO,F I,4,71.27
2025-11-13,9:30:31.212574938,T,KO,,300,71.26
2025-11-13,9:30:31.285838395,T,KO,,300,71.26
2025-11-13,9:30:31.384362108,T,KO,I,15,71.25
2025-11-13,9:30:31.384377224,T,KO,I,35,71.25
2025-11-13,9:30:31.384377224,T,KO,I,19,71.25
2025-11-13,9:30:31.384384458,T,KO,F I,31,71.25
2025-11-13,9:30:31.384386112,T,KO,F,100,71.25
2025-11-13,9:30:31.384389121,T,KO,F,265,71.25
2025-11-13,9:30:31.835978316,T,KO,,100,71.24
2025-11-13,9:30:31.835998700,T,KO,I,1,71.24
2025-11-13,9:30:31.887072345,T,KO,I,50,71.23
2025-11-13,9:30:31.887523441,T,KO,,100,71.23
2025-11-13,9:30:32.040359443,T,KO,,100,71.25
2025-11-13,9:30:32.040771469,T,KO,F,100,71.26
2025-11-13,9:30:32.040774488,T,KO,F I,50,71.26
2025-11-13,9:30:34.292251730,T,KO,F I,99,71.23
2025-11-13,9:30:34.292270048,T,KO,I,1,71.23
2025-11-13,9:30:34.292738916,T,KO,I,43,71.25
2025-11-13,9:30:34.292738916,T,KO,I,50,71.25
2025-11-13,9:30:34.292741936,T,KO,,400,71.26
2025-11-13,9:30:34.292744915,T,KO,I,50,71.26
2025-11-13,9:30:34.292835118,T,KO,F I,88,71.26
2025-11-13,9:30:34.292889323,T,KO,I,55,71.25
2025-11-13,9:30:34.292988597,T,KO,F,100,71.26
2025-11-13,9:30:34.292988597,T,KO,I,50,71.25
2025-11-13,9:30:34.292991569,T,KO,,100,71.25
2025-11-13,9:30:34.293033663,T,KO,F,200,71.25
2025-11-13,9:30:34.293105773,T,KO,F I,98,71.25
2025-11-13,9:30:34.293114794,T,KO,F I,2,71.25
2025-11-13,9:30:34.293165918,T,KO,,100,71.25
2025-11-13,9:30:34.293208050,T,KO,F,100,71.25
2025-11-13,9:30:34.293217713,T,KO,F I,12,71.25
2025-11-13,9:30:34.293217713,T,KO,F I,12,71.25
2025-11-13,9:30:34.293268252,T,KO,,200,71.25
2025-11-13,9:30:34.293331468,T,KO,,100,71.25
2025-11-13,9:30:34.293331468,T,KO,I,6,71.25
2025-11-13,9:30:34.293331468,T,KO,,100,71.25
2025-11-13,9:30:34.293448652,T,KO,I,10,71.25
2025-11-13,9:30:35.132645697,T,KO,I,10,71.26
2025-11-13,9:30:35.132649171,T,KO,I,50,71.27
2025-11-13,9:30:35.132651360,T,KO,I,90,71.27
2025-11-13,9:30:35.132663386,T,KO,I,1,71.27
2025-11-13,9:30:35.132681823,T,KO,I,1,71.27
2025-11-13,9:30:35.132684413,T,KO,I,8,71.27
2025-11-13,9:30:35.132708540,T,KO,I,12,71.26
2025-11-13,9:30:35.132784230,T,KO,I,50,71.26
2025-11-13,9:30:35.132786662,T,KO,,100,71.26
2025-11-13,9:30:35.132786662,T,KO,,100,71.26
2025-11-13,9:30:35.132918945,T,KO,I,12,71.26
2025-11-13,9:30:35.132918945,T,KO,I,12,71.26
2025-11-13,9:30:35.132955056,T,KO,,100,71.26
2025-11-13,9:30:35.133063317,T,KO,,100,71.26
2025-11-13,9:30:35.133063317,T,KO,I,12,71.26
2025-11-13,9:30:35.133066351,T,KO,I,1,71.26
2025-11-13,9:30:35.133382142,T,KO,I,10,71.26
2025-11-13,9:30:35.167050249,T,KO,F I,51,71.25
2025-11-13,9:30:35.167053861,T,KO,I,51,71.25
2025-11-13,9:30:35.167071342,T,KO,I,4,71.25
2025-11-13,9:30:35.167071342,T,KO,F I,51,71.25
2025-11-13,9:30:35.167152588,T,KO,F I,13,71.25
2025-11-13,9:30:35.167155814,T,KO,F I,13,71.25
2025-11-13,9:30:35.167155814,T,KO,F I,13,71.25
2025-11-13,9:30:35.167155814,T,KO,F I,26,71.25
2025-11-13,9:30:35.167182873,T,KO,F I,10,71.25
2025-11-13,9:30:35.167182873,T,KO,F I,3,71.25
2025-11-13,9:30:35.167203611,T,KO,F I,10,71.25
2025-11-13,9:30:35.167215628,T,KO,F I,10,71.25
2025-11-13,9:30:35.167236675,T,KO,F I,48,71.25
2025-11-13,9:30:35.167338967,T,KO,,100,71.25
2025-11-13,9:30:35.167338967,T,KO,I,4,71.25
2025-11-13,9:30:37.252415010,T,KO,F I,10,71.25
2025-11-13,9:30:37.252415010,T,KO,F I,56,71.25
2025-11-13,9:30:37.252433042,T,KO,F I,66,71.25
2025-11-13,9:30:37.252502201,T,KO,F I,12,71.26
2025-11-13,9:30:37.252518059,T,KO,F I,33,71.26
2025-11-13,9:30:37.252580368,T,KO,I,7,71.25
2025-11-13,9:30:40.789968535,T,KO,F I,12,71.28
2025-11-13,9:30:40.789971537,T,KO,F I,5,71.28
2025-11-13,9:30:42.032576103,T,KO,I,5,71.27
2025-11-13,9:30:42.032576103,T,KO,I,1,71.27
2025-11-13,9:30:42.032614977,T,KO,I,1,71.27
2025-11-13,9:30:42.032648110,T,KO,,100,71.27
2025-11-13,9:30:42.032651079,T,KO,,300,71.27
2025-11-13,9:30:42.032651079,T,KO,I,13,71.28
2025-11-13,9:30:42.032654021,T,KO,,100,71.28
2025-11-13,9:30:42.032657071,T,KO,I,50,71.28
2025-11-13,9:30:42.032657071,T,KO,,300,71.28
2025-11-13,9:30:42.032711724,T,KO,,100,71.28
2025-11-13,9:30:42.032714160,T,KO,I,3,71.27
2025-11-13,9:30:42.032717697,T,KO,I,13,71.27
2025-11-13,9:30:42.032717697,T,KO,I,87,71.27
2025-11-13,9:30:42.032942685,T,KO,F,100,71.27
2025-11-13,9:30:42.033941115,T,KO,I,7,71.25
2025-11-13,9:30:42.134251048,T,KO,I,5,71.24
2025-11-13,9:30:42.923910710,T,KO,I,34,71.24
2025-11-13,9:30:42.924220804,T,KO,F I,16,71.24
2025-11-13,9:30:42.924223461,T,KO,F,100,71.25
2025-11-13,9:30:43.861396957,T,KO,F I,12,71.245
2025-11-13,9:30:43.861396957,T,KO,F I,50,71.25
2025-11-13,9:30:44.092990087,T,KO,F I,30,71.25
2025-11-13,9:30:44.092993116,T,KO,F I,70,71.26
2025-11-13,9:30:44.093053329,T,KO,I,30,71.26
2025-11-13,9:30:44.093137439,T,KO,F,100,71.26
2025-11-13,9:30:44.093459249,T,KO,F I,2,71.26
2025-11-13,9:30:44.164214722,T,KO,,100,71.26
2025-11-13,9:30:44.164214722,T,KO,I,12,71.26
2025-11-13,9:30:48.784310435,T,KO,F,206,71.25
2025-11-13,9:30:48.808800794,T,KO,I,4,71.23
2025-11-13,9:30:51.923249417,T,KO,I,1,71.24
2025-11-13,9:30:51.923288465,T,KO,I,1,71.24
2025-11-13,9:30:51.960926147,T,KO,F I,50,71.23
2025-11-13,9:30:51.960926147,T,KO,F I,13,71.23
2025-11-13,9:30:51.960950189,T,KO,F I,54,71.23
2025-11-13,9:30:51.960953620,T,KO,F I,6,71.23
2025-11-13,9:30:51.960953620,T,KO,F I,60,71.23
2025-11-13,9:30:51.969631889,T,KO,F I,50,71.23
2025-11-13,9:30:53.562333211,T,KO,F I,50,71.23
2025-11-13,9:30:53.562718143,T,KO,F I,64,71.23
2025-11-13,9:30:53.563524148,T,KO,F I,6,71.23
2025-11-13,9:30:55.205206083,T,KO,,100,71.225
2025-11-13,9:30:56.059306274,T,KO,I,98,71.24
2025-11-13,9:30:56.059309356,T,KO,I,82,71.24
2025-11-13,9:30:56.059324386,T,KO,I,1,71.24
2025-11-13,9:30:56.060536478,T,KO,I,19,71.23
2025-11-13,9:30:56.060536478,T,KO,,100,71.23
2025-11-13,9:30:56.060539248,T,KO,,100,71.23
2025-11-13,9:30:57.818511403,T,KO,F I,19,71.24
2025-11-13,9:30:57.820008792,T,KO,F,100,71.26
2025-11-13,9:30:57.829646772,T,KO,F I,25,71.26
2025-11-13,9:30:59.959433408,T,KO,F I,25,71.26
2025-11-13,9:30:59.959472431,T,KO,I,93,71.27
2025-11-13,9:30:59.959493376,T,KO,I,1,71.27
2025-11-13,9:30:59.959758532,T,KO,F I,70,71.25
2025-11-13,9:30:59.959758532,T,KO,F,100,71.25
2025-11-13,9:30:59.959761045,T,KO,F,300,71.25
2025-11-13,9:30:59.959764109,T,KO,F,192,71.24
2025-11-13,9:30:59.960124948,T,KO,F I,50,71.25
2025-11-13,9:30:59.960128385,T,KO,F I,10,71.25
2025-11-13,9:30:59.960134019,T,KO,F I,3,71.25
2025-11-13,9:30:59.960155434,T,KO,F I,1,71.25
2025-11-13,9:30:59.960158984,T,KO,I,1,71.25
2025-11-13,9:30:59.960161021,T,KO,F I,55,71.25
2025-11-13,9:30:59.960218207,T,KO,,100,71.25
2025-11-13,9:30:59.960251223,T,KO,F I,50,71.25
2025-11-13,9:30:59.960275340,T,KO,I,5,71.25
2025-11-13,9:30:59.966166322,T,KO,I,10,71.25
2025-11-13,9:30:59.966199499,T,KO,I,52,71.25
2025-11-13,9:30:59.966202374,T,KO,I,3,71.25
2025-11-13,9:30:59.966202374,T,KO,I,5,71.25
2025-11-13,9:31:00.334086576,T,KO,F I,5,71.24
2025-11-13,9:31:00.334086576,T,KO,F I,16,71.24
2025-11-13,9:31:00.334615926,T,KO,F I,50,71.23
2025-11-13,9:31:01.191891623,T,KO,I,88,71.24
2025-11-13,9:31:01.191915752,T,KO,F I,12,71.24
2025-11-13,9:31:01.191915752,T,KO,F I,50,71.24
2025-11-13,9:31:01.191918949,T,KO,F I,25,71.24
2025-11-13,9:31:01.191921700,T,KO,F I,32,71.24
2025-11-13,9:31:01.191921700,T,KO,I,1,71.24
2025-11-13,9:31:02.327032236,T,KO,I,12,71.235
2025-11-13,9:31:02.328325214,T,KO,I,30,71.24
2025-11-13,9:31:05.119479917,T,KO,I,50,71.225
2025-11-13,9:31:05.119786613,T,KO,I,25,71.225
2025-11-13,9:31:05.119795639,T,KO,F I,25,71.225
2025-11-13,9:31:05.119804691,T,KO,,300,71.225
2025-11-13,9:31:05.120012201,T,KO,F,100,71.23
2025-11-13,9:31:05.120252712,T,KO,I,50,71.23
2025-11-13,9:31:05.120276828,T,KO,F,200,71.225
2025-11-13,9:31:05.120279857,T,KO,F,196,71.23
2025-11-13,9:31:05.120297891,T,KO,I,1,71.23
2025-11-13,9:31:05.120535642,T,KO,F I,25,71.22
2025-11-13,9:31:05.120535642,T,KO,F,100,71.22
2025-11-13,9:31:05.120538460,T,KO,F I,67,71.22
2025-11-13,9:31:05.120541403,T,KO,F,100,71.22
2025-11-13,9:31:05.121104050,T,KO,F,1053,71.22
2025-11-13,9:31:05.121148967,T,KO,I,66,71.22
2025-11-13,9:31:05.121179567,T,KO,I,1,71.22
2025-11-13,9:31:05.121639040,T,KO,,100,71.22
2025-11-13,9:31:05.168229138,T,KO,I,25,71.22
2025-11-13,9:31:05.168229138,T,KO,,400,71.22
2025-11-13,9:31:05.170268600,T,KO,F,100,71.21
2025-11-13,9:31:05.170268600,T,KO,F,100,71.21
2025-11-13,9:31:05.170270856,T,KO,F,100,71.21
2025-11-13,9:31:05.170274031,T,KO,F,100,71.21
2025-11-13,9:31:05.884802882,T,KO,F I,50,71.18
2025-11-13,9:31:05.884805672,T,KO,F I,25,71.18
2025-11-13,9:31:05.885608661,T,KO,F,100,71.19
2025-11-13,9:31:05.894329456,T,KO,F,100,71.19
2025-11-13,9:31:05.894332399,T,KO,F,100,71.19
2025-11-13,9:31:05.894332399,T,KO,F I,94,71.19
2025-11-13,9:31:05.894350394,T,KO,I,1,71.19
2025-11-13,9:31:05.894783504,T,KO,F I,1,71.19
2025-11-13,9:31:05.894783504,T,KO,F I,1,71.19
2025-11-13,9:31:05.894795624,T,KO,F I,1,71.19
2025-11-13,9:31:05.894799071,T,KO,F I,1,71.19
2025-11-13,9:31:05.894801488,T,KO,F I,1,71.19
2025-11-13,9:31:05.894807530,T,KO,F I,1,71.19
2025-11-13,9:31:08.011732486,T,KO,F I,25,71.2
2025-11-13,9:31:08.016637117,T,KO,F,100,71.23
2025-11-13,9:31:08.016640126,T,KO,F I,25,71.23
2025-11-13,9:31:08.053008693,T,KO,,267,71.23
2025-11-13,9:31:08.053020770,T,KO,I,33,71.23
2025-11-13,9:31:08.053643764,T,KO,I,67,71.22
2025-11-13,9:31:08.053646269,T,KO,,100,71.22
2025-11-13,9:31:11.165833632,T,KO,,200,71.25
2025-11-13,9:31:11.165833632,T,KO,I,60,71.25
2025-11-13,9:31:11.165836530,T,KO,I,20,71.25
2025-11-13,9:31:11.165839605,T,KO,I,14,71.25
2025-11-13,9:31:12.322409750,T,KO,I,67,71.25
2025-11-13,9:31:14.595622283,T,KO,,100,71.27
2025-11-13,9:31:14.622879199,T,KO,,100,71.27
2025-11-13,9:31:14.622882258,T,KO,I,25,71.26
2025-11-13,9:31:14.622882258,T,KO,I,25,71.26
2025-11-13,9:31:14.622885234,T,KO,I,16,71.26
2025-11-13,9:31:15.681665036,T,KO,F I,11,71.26
2025-11-13,9:31:15.681665036,T,KO,F I,5,71.26
2025-11-13,9:31:16.123200470,T,KO,I,5,71.25
2025-11-13,9:31:16.811690371,T,KO,I,25,71.25
2025-11-13,9:31:16.811693259,T,KO,I,25,71.25
2025-11-13,9:31:18.674350496,T,KO,F,100,71.26
2025-11-13,9:31:18.674350496,T,KO,F I,25,71.26
2025-11-13,9:31:18.674368524,T,KO,I,1,71.26
2025-11-13,9:31:18.674380612,T,KO,F I,99,71.26
2025-11-13,9:31:18.674383643,T,KO,F I,1,71.26
2025-11-13,9:31:18.674389647,T,KO,F I,99,71.26
2025-11-13,9:31:18.674389647,T,KO,F I,1,71.26
2025-11-13,9:31:18.674392719,T,KO,F I,99,71.26
2025-11-13,9:31:18.674392719,T,KO,F I,99,71.26
2025-11-13,9:31:18.674405158,T,KO,F I,99,71.26
2025-11-13,9:31:18.674426228,T,KO,F I,1,71.26
2025-11-13,9:31:18.674428756,T,KO,F I,99,71.26
2025-11-13,9:31:18.674447096,T,KO,I,1,71.26
2025-11-13,9:31:18.674449809,T,KO,,100,71.255
2025-11-13,9:31:18.674452766,T,KO,,100,71.25
2025-11-13,9:31:18.674452766,T,KO,,100,71.25
2025-11-13,9:31:18.674456153,T,KO,I,16,71.25
2025-11-13,9:31:18.674470805,T,KO,I,1,71.25
2025-11-13,9:31:18.674510039,T,KO,I,74,71.25
2025-11-13,9:31:18.674513272,T,KO,I,86,71.25
2025-11-13,9:31:18.674894867,T,KO,I,4,71.25
2025-11-13,9:31:18.674927902,T,KO,I,30,71.25
2025-11-13,9:31:19.890961150,T,KO,F I,2,71.24
2025-11-13,9:31:20.559179636,T,KO,I,2,71.24
2025-11-13,9:31:20.859758147,T,KO,I,79,71.25
2025-11-13,9:31:20.859761679,T,KO,I,70,71.25
2025-11-13,9:31:20.859761679,T,KO,I,61,71.25
2025-11-13,9:31:20.860016084,T,KO,,100,71.24
2025-11-13,9:31:20.860019128,T,KO,,100,71.24
2025-11-13,9:31:20.860023095,T,KO,I,61,71.24
2025-11-13,9:31:20.860023095,T,KO,I,26,71.24
2025-11-13,9:31:20.860028361,T,KO,I,25,71.24
2025-11-13,9:31:20.860028361,T,KO,I,2,71.24
2025-11-13,9:31:21.484474936,T,KO,F,516,71.23
2025-11-13,9:31:21.512630497,T,KO,F,100,71.22
2025-11-13,9:31:21.512637428,T,KO,F,267,71.22
2025-11-13,9:31:21.512637428,T,KO,F I,26,71.22
2025-11-13,9:31:21.512639545,T,KO,F,100,71.22
2025-11-13,9:31:21.512639545,T,KO,F I,25,71.22
2025-11-13,9:31:21.512642484,T,KO,F,100,71.22
2025-11-13,9:31:21.513051421,T,KO,,200,71.22
2025-11-13,9:31:21.513072484,T,KO,I,1,71.22
2025-11-13,9:31:21.513162784,T,KO,I,99,71.22
2025-11-13,9:31:21.513529626,T,KO,,198,71.21
2025-11-13,9:31:23.300740396,T,KO,F I,50,71.22
2025-11-13,9:31:23.300740396,T,KO,F,100,71.22
2025-11-13,9:31:23.300746182,T,KO,F I,25,71.22
2025-11-13,9:31:23.300746182,T,KO,F,100,71.22
2025-11-13,9:31:23.300749175,T,KO,F I,2,71.22
2025-11-13,9:31:23.301008233,T,KO,F,100,71.23
2025-11-13,9:31:23.301008233,T,KO,F,100,71.23
2025-11-13,9:31:23.301010867,T,KO,F I,50,71.23
2025-11-13,9:31:29.960985002,T,KO,F I,6,71.23
2025-11-13,9:31:29.963222527,T,KO,I,7,71.21
2025-11-13,9:31:29.963222527,T,KO,,100,71.22
2025-11-13,9:31:29.963225279,T,KO,I,25,71.22
2025-11-13,9:31:30.563815652,T,KO,I,1,71.215
2025-11-13,9:31:34.412902034,T,KO,I,5,71.215
2025-11-13,9:31:34.412902034,T,KO,I,25,71.23
2025-11-13,9:31:34.412908373,T,KO,I,50,71.23
2025-11-13,9:31:34.412908373,T,KO,,100,71.23
2025-11-13,9:31:34.412911057,T,KO,,170,71.23
2025-11-13,9:31:34.412926126,T,KO,I,1,71.23
2025-11-13,9:31:34.414550823,T,KO,I,29,71.22
2025-11-13,9:31:34.414550823,T,KO,I,50,71.22
2025-11-13,9:31:34.414554031,T,KO,I,25,71.22
2025-11-13,9:31:34.414554031,T,KO,I,60,71.22
2025-11-13,9:31:34.414556146,T,KO,I,1,71.22
2025-11-13,9:31:34.414558958,T,KO,I,87,71.22
2025-11-13,9:31:34.414562060,T,KO,I,5,71.22
2025-11-13,9:31:34.414910888,T,KO,F I,1,71.21
2025-11-13,9:31:34.414926477,T,KO,F I,44,71.21
2025-11-13,9:31:34.414929144,T,KO,F,100,71.21
2025-11-13,9:31:34.414931948,T,KO,F I,45,71.21
